New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Demographics,Mode Preference,NHTS,Person-Level,Person characteristics,,NHTS,YEARMILE,Miles Personally Driven in all Vehicles,,,,,,,,,,,,,,,,YEARMILE,Miles Personally Driven in all Vehicles,,1,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Vehicle-Level,Vehicle-related,,NHTS,FLEXTIME,Flex Time,,,,,,,,,,,,,,,,FLEXTIME,Flex Time,,1,,,,,,,,,,,,
Demographics,Mode Preference,NHTS,Person-Level,Person characteristics,,NHTS,LSTTRDAY17,Last trip before travel day,,,,,,,,,,,,,,,,LSTTRDAY17,Last trip before travel day,,1,,,,,,,,,,,,
Survey ID/Flag,Flag,RHTS,Household-Level,Survey-related,,RHTS,RECMode,Recruit Mode,,,,,,,,,,,,,,,,,,,,,,RECMode,Recruit Mode,1,,,,,,,
Survey ID/Flag,Flag,RHTS,Household-Level,Survey-related,,RHTS,RETMode,Retrieval Mode,,,,,,,,,,,,,,,,,,,,,,RETMode,Retrieval Mode,1,,,,,,,
Survey ID/Flag,Flag,In 2 Surveys,Household-Level,Survey-related,,NHTS,SMPLSRCE,Sample where the case originated,,,,,,,,,,,,,,,,SMPLSRCE,Sample where the case originated,1,1,1,1,STYPE,Sample Type,1,,,,,,,
Survey ID/Flag,Flag,RHTS,Household-Level,Survey-related,,RHTS,GTYPE,GPS Type,,,,,,,,,,,,,,,,,,,,,,GTYPE,GPS Type,1,,,,1,1,1,
Survey ID/Flag,Flag,RHTS,Household-Level,Survey-related,,RHTS,LTELE,Land-Based Telephone Service,,,,,,,,,,,,,,,,,,,,,,LTELE,Land-Based Telephone Service,1,,,,,,,
Demographics,Language,RHTS,Household-Level,Household Characteristics,,RHTS,HHLNG | O_HHLNG,"Household Language | Other, Household Language",,,,,,,,,,,,,,,,,,,,,,HHLNG | O_HHLNG,"Household Language | Other, Household Language",1,,,,,,,
Survey ID/Flag,Flag,RHTS,Household-Level,Survey-related,,RHTS,PARTIAL,Flag for Partially Completed Households,,,,,,,,,,,,,,,,,,,,,,PARTIAL,Flag for Partially Completed Households,1,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Person characteristics,,RHTS,VOLUN,Volunteer,,,,,,,,,,,,,,,,,,,,,,VOLUN,Volunteer,,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Person characteristics,,RHTS,WKSTAT,Unemployment Status,,,,,,,,,,,,,,,,,,,,,,WKSTAT,Unemployment Status,,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,WDAYS,Work Days,,,,,,,,,,,,,,,,,,,,,,WDAYS,Work Days,,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,COMPR | O_COMPR,"Compressed Work Week | Other, Compressed Work Week",,,,,,,,,,,,,,,,,,,,,,COMPR | O_COMPR,"Compressed Work Week | Other, Compressed Work Week",,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,CDRIV,Commercial Driving,,,,,,,,,,,,,,,,,,,,,,CDRIV,Commercial Driving,,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,CVEH,Vehicle Number Driven Commercially,,,,,,,,,,,,,,,,,,,,,,CVEH,Vehicle Number Driven Commercially,,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,ESUB_BEN,Employer-Transportation Benefits,,,,,,,,,,,,,,,,,,,,,,"ESUB_1 |
ESUB_2 |
ESUB_3 |
O_ESUB |","Employer-Transportation Benefit 1 |
Employer-Transportation Benefit 2 |
Employer-Transportation Benefit 3 |
Other, Employer-Transportation Benefit |",,1,,,,,,
Demographics,Employment,RHTS,Person-Level,Work-related,,RHTS,WTIMESTAMP,Work Timestamp,,,,,,,,,,,,,,,,,,,,,,"WSTRT |
WEND |
SCHED |
HRS1 |
HRS2 |
HRS3 |
STRVR |
O_STRVR |
ENDVR |
O_ENDVR |","Work Start Time |
Work End Time |
Work Schedule |
Job #1 Hours |
Job #2 Hours |
Job #3 Hours |
Start Time Variation |
Other, Start Time Variation |
End Time Variation |
Other, End Time Variation |",,1,,,,,,
Survey ID/Flag,Flag,RHTS,Vehicle-Level,Vehicle characteristics,,RHTS,O_CNTV,Reason Not Used,,,,,,,,,,,,,,,,,,,,,,O_CNTV,Reason Not Used,,,1,,,,,
Trip Information,Stops,RHTS,Trip-Level,Vehicle-related,,RHTS,DYGOV,Exit Vehicle,,,,,,,,,,,,,,,,,,,,,,DYGOV,Exit Vehicle,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Parking-related,,RHTS,PKUNT,Pay Unit,,,,,,,,,,,,,,,,,,,,,,PKUNT,Pay Unit,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLFT,Paid Fee for a Toll Road or Bridge/Tunnel on your Trip,,,,,,,,,,,,,,,,,,,,,,TOLFT,Paid Fee for a Toll Road or Bridge/Tunnel on your Trip,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Travel experience-related,,RHTS,TLONB,Number of Toll Facilities Used,,,,,,,,,,,,,,,,,,,,,,TLONB,Number of Toll Facilities Used,,,,1,1,1,,
Trip Information,Route/Path,RHTS,Trip-Level,Travel experience-related,,RHTS,TLFC1,Toll Road or Bridge/Tunnel,,,,,,,,,,,,,,,,,,,,,,TLFC1,Toll Road or Bridge/Tunnel,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLLFACNAME,Name of Toll Facility,,,,,,,,,,,,,,,,,,,,,,"TOPN1 |
TOPN2 |
TOPN3",Name of Toll Facility,,,,1,1,1,,
Trip Information,Route/Path,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLLINTCHGENTEXT,Interchange Used to Enter/Exit Facility,,,,,,,,,,,,,,,,,,,,,,"TOLE1 |
TOLE2 |
TOLE3 |
TOLX1 |
TOLX2 |
TOLX3 |","Interchange Used to Enter Facility |
Interchange Used to Exit Facility |",,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLLFEEAMT,Amount of Toll Fee Paid,,,,,,,,,,,,,,,,,,,,,,"TLLC1 |
TLLC2 |
TLLC3",Amount of Toll Fee Paid,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLLPAYMETHOD,"Toll Payment Method |
Other, Toll Payment Method",,,,,,,,,,,,,,,,,,,,,,"TLFR1 |
TLFR2 |
TLFR3 |
O_TLFR1 |
O_TLFR2 |
O_TLFR3 |
EZPAS |","Toll Payment Method |
Other, Toll Payment Method |
E-ZPass Tag",,,,1,1,1,,
Trip Information,Route/Path,RHTS,Trip-Level,Travel experience-related,,RHTS,TOLLRDBRDGTNNL,Toll Road or Bridge/Tunnel,,,,,,,,,,,,,,,,,,,,,,"TLFC2 |
TLFC3",Toll Road or Bridge/Tunnel,,,,1,1,1,,
Trip Information,Route/Path,RHTS,Trip-Level,Transit-related,,RHTS,ROUTE,Route/Line Number for Transit Trips,,,,,,,,,,,,,,,,,,,,,,ROUTE,Route/Line Number for Transit Trips,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Transit-related,,RHTS,FAREC,Transit Fare Cash,,,,,,,,,,,,,,,,,,,,,,FAREC,Transit Fare Cash,,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Transit-related,,RHTS,BUSPS | O_BUSPS,"Transit Pass Type | Other, Transit Pass Type ",,,,,,,,,,,,,,,,,,,,,,BUSPS | O_BUSPS,"Transit Pass Type | Other, Transit Pass Type ",,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Transit-related,,RHTS,MTABP | O_MTABP,"Type of Unlimited Ride Metrocard | Other, Type of MetroCard",,,,,,,,,,,,,,,,,,,,,,MTABP | O_MTABP,"Type of Unlimited Ride Metrocard | Other, Type of MetroCard",,,,1,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Transit-related,,RHTS,FRBAS | O_FRBAS,"Transit Pass Unit | Other, Transit Pass Unit",,,,,,,,,,,,,,,,,,,,,,FRBAS | O_FRBAS,"Transit Pass Unit | Other, Transit Pass Unit",,,,1,1,1,,
Trip Information,Duration,RHTS,Trip-Level,Survey-related,,RHTS,LONGTRIP,Flag for Long Trip Duration,,,,,,,,,,,,,,,,,,,,,,LONGTRIP,Flag for Long Trip Duration,,,,1,,,,
Survey ID/Flag,Flag,RHTS,Trip-Level,Survey-related,,RHTS,NOTE,Note from NYMTC/NJTPA Data Review,,,,,,,,,,,,,,,,,,,,,,NOTE,Note from NYMTC/NJTPA Data Review,,,,1,,,,
Survey ID/Flag,Flag,RHTS,Trip-Level,Survey-related,,RHTS,CHANGED,Flag Indicating Record was changed during data QC,,,,,,,,,,,,,,,,,,,,,,CHANGED,Flag Indicating Record was changed during data QC,,,,1,,,,
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,TRIPNO,Unlinked Trip Number (segment),,,,,,,,,,,,,,,,,,,,,,TRIPNO,Unlinked Trip Number (segment),,,,,1,,,
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,LINKFLAG,Linked Trip Flag (1 if true),,,,,,,,,,,,,,,,,,,,,,LINKFLAG,Linked Trip Flag (1 if true),,,,,1,,,
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,TOUR_ID,Tour ID,,,,,,,,,,,,,,,,,,,,,,TOUR_ID,Tour ID,,,,,1,1,1,1
Trip Information,Mode,RHTS,Trip-Level,Survey-related,,RHTS,LTMODE_AGG,Aggregate Linked Trip Mode,,,,,,,,,,,,,,,,,,,,,,LTMODE_AGG,Aggregate Linked Trip Mode,,,,,1,1,,
Trip Information,Mode,RHTS,Trip-Level,Survey-related,,RHTS,MODE_SAMP,Linked Trip Mode Code (as used for Sampling),,,,,,,,,,,,,,,,,,,,,,MODE_SAMP,Linked Trip Mode Code (as used for Sampling),,,,,1,1,,
Trip Information,Network Attribute,RHTS,Trip-Level,Transit-related,,RHTS,FARE,Transit Fare Type,,,,,,,,,,,,,,,,,,,,,,FARE,Transit Fare Type,,,,1,1,1,,
Survey ID/Flag,ID,RHTS,Trip-Level,Survey-related,,RHTS,UNIQUEID1,UID for Unlinked Trips,,,,,,,,,,,,,,,,,,,,,,UNIQUEID1,UID for Unlinked Trips,,,,,,1,,
Survey ID/Flag,ID,RHTS,Trip-Level,Survey-related,,RHTS,UNIQUEID2,UID for linkedtrips (use to merge with Linked Trip File),,,,,,,,,,,,,,,,,,,,,,UNIQUEID2,UID for linkedtrips (use to merge with Linked Trip File),,,,,1,1,,
Survey ID/Flag,ID,RHTS,Trip-Level,Identifier,,RHTS,PERTYPE,Person Type Code,,,,,,,,,,,,,,,,,,,,,,PERTYPE,Person Type Code,,,,,1,,1,
Survey ID/Flag,ID,RHTS,Trip-Level,Identifier,,RHTS,SUBT_ID,Subtour ID,,,,,,,,,,,,,,,,,,,,,,SUBT_ID,Subtour ID,,,,,1,,,1
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,PRIM_TRP1,Tripno for 1st Trip to Primary Dest,,,,,,,,,,,,,,,,,,,,,,"PRIM_TRP1 |
PRIM_TRP2 |
PRIM_TRP3 |
PRIM_TRP4 |","Tripno for 1st Trip to Primary Dest |
Tripno for 2nd Trip to Primary Dest |
Tripno for 3rd Trip to Primary Dest |
Tripno for 4th Trip to Primary Dest |",,,,,,,1,
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,TRIP_NUM,Number of Trips on the tour,,,,,,,,,,,,,,,,,,,,,,TRIP_NUM,Number of Trips on the tour,,,,,,,1,
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,SUBTOURS,Number of Subtours,,,,,,,,,,,,,,,,,,,,,,SUBTOURS,Number of Subtours,,,,,,,1,1
Survey ID/Flag,ID,RHTS,Trip-Level,Survey-related,,RHTS,UNIQUEID3,Unique ID for Tours (use to merge with Tour File),,,,,,,,,,,,,,,,,,,,,,UNIQUEID3,Unique ID for Tours (use to merge with Tour File),,,,,,1,1,1
Survey ID/Flag,ID,RHTS,Trip-Level,Survey-related,,RHTS,UNIQUEID4,Unique ID for SubTours (use to merge with Linked Trip File),,,,,,,,,,,,,,,,,,,,,,UNIQUEID4,Unique ID for SubTours (use to merge with Linked Trip File),,,,,1,,,1
Trip Information,Tour/Day Information,RHTS,Trip-Level,Survey-related,,RHTS,TOURFAC,Tour correction factor,,,,,,,,,,,,,,,,,,,,,,TOURFAC,Tour correction factor,,,,,1,1,1,1
